Time,T1,T2,Q1,Q2
0,26.022,23.477,60.0,0.0
1.01,25.797,23.477,60.0,0.0
2.01,25.765,23.477,60.0,0.0
3.01,25.765,23.477,60.0,0.0
4.01,25.732,23.477,60.0,0.0
5.01,25.732,23.315,60.0,0.0
6.01,25.732,23.283,60.0,0.0
7.01,25.732,23.219,60.0,0.0
8.0,25.732,23.154,60.0,0.0
9.01,25.7,23.154,60.0,0.0
10.0,25.732,23.154,60.0,0.0
11.0,25.732,23.122,60.0,0.0
12.01,25.732,23.122,60.0,0.0
13.0,25.732,23.122,60.0,0.0
14.01,25.732,22.993,60.0,0.0
15.01,25.765,22.864,60.0,0.0
16.01,25.829,22.864,60.0,0.0
17.0,25.926,22.832,60.0,0.0
18.0,25.99,22.832,60.0,0.0
19.01,26.055,22.832,60.0,0.0
20.01,26.087,22.832,60.0,0.0
21.0,26.184,22.8,60.0,0.0
22.01,26.345,22.735,60.0,0.0
23.01,26.345,22.671,60.0,0.0
24.0,26.377,22.574,60.0,0.0
25.01,26.377,22.542,60.0,0.0
26.0,26.635,22.51,60.0,0.0
27.01,26.699,22.51,60.0,0.0
28.0,26.699,22.51,60.0,0.0
29.01,26.731,22.51,60.0,0.0
30.01,27.021,22.51,60.0,0.0
31.01,27.021,22.51,60.0,0.0
32.0,27.021,22.445,60.0,0.0
33.01,27.247,22.413,60.0,0.0
34.01,27.344,22.284,60.0,0.0
35.01,27.344,22.316,60.0,0.0
36.01,27.569,22.284,60.0,0.0
37.01,27.666,22.188,60.0,0.0
38.01,27.666,22.188,60.0,0.0
39.01,27.763,22.188,60.0,0.0
40.01,27.988,22.188,60.0,0.0
41.01,27.988,22.188,60.0,0.0
42.01,28.214,22.188,60.0,0.0
43.01,28.311,22.188,60.0,0.0
44.0,28.311,22.188,60.0,0.0
45.0,28.375,22.188,60.0,0.0
46.01,28.633,22.188,60.0,0.0
47.01,28.633,22.155,60.0,0.0
48.01,28.794,22.155,60.0,0.0
49.01,28.923,22.059,60.0,0.0
50.01,28.955,22.059,60.0,0.0
51.01,28.987,21.962,60.0,0.0
52.0,29.277,21.93,60.0,0.0
53.01,29.277,21.897,60.0,0.0
54.01,29.438,21.994,60.0,0.0
55.01,29.567,21.865,60.0,0.0
56.01,29.6,21.897,60.0,0.0
57.01,29.664,21.865,60.0,0.0
58.01,29.89,21.865,60.0,0.0
59.01,29.922,21.865,60.0,0.0
60.01,30.019,21.865,60.0,0.0
61.0,30.212,21.865,60.0,0.0
62.0,30.244,21.865,60.0,0.0
63.01,30.47,21.865,60.0,0.0
64.01,30.566,21.865,60.0,0.0
65.0,30.566,21.865,60.0,0.0
66.01,30.695,21.865,60.0,0.0
67.01,30.889,21.865,60.0,0.0
68.01,30.889,21.865,60.0,0.0
69.01,30.889,21.865,60.0,0.0
70.01,31.114,21.833,60.0,0.0
71.01,31.211,21.865,60.0,0.0
72.01,31.243,21.865,60.0,0.0
73.0,31.437,21.865,60.0,0.0
74.01,31.533,21.833,60.0,0.0
75.01,31.533,21.833,60.0,0.0
76.01,31.662,21.865,60.0,0.0
77.01,31.855,21.833,60.0,0.0
78.0,31.855,21.833,60.0,0.0
79.0,32.081,21.865,60.0,0.0
80.01,32.178,21.801,60.0,0.0
81.01,32.178,21.833,60.0,0.0
82.01,32.403,21.801,60.0,0.0
83.01,32.5,21.833,60.0,0.0
84.01,32.5,21.736,60.0,0.0
85.01,32.629,21.769,60.0,0.0
86.01,32.79,21.607,60.0,0.0
87.0,32.822,21.801,60.0,0.0
88.01,32.822,21.865,60.0,0.0
89.01,33.112,21.736,60.0,0.0
90.01,33.145,21.769,60.0,0.0
91.01,33.145,21.607,60.0,0.0
92.0,33.306,21.736,60.0,0.0
93.01,33.467,21.801,60.0,0.0
94.0,33.467,21.672,60.0,0.0
95.01,33.66,21.672,60.0,0.0
