Time,T1,T2,Q1,Q2
0,16.387,15.098,0.0,60.0
1.01,16.387,15.323,0.0,60.0
2.01,16.387,15.227,0.0,60.0
3.01,16.354,15.355,0.0,60.0
4.01,16.354,15.098,0.0,60.0
5.01,16.387,15.291,0.0,60.0
6.01,16.354,15.098,0.0,60.0
7.01,16.387,15.355,0.0,60.0
8.01,16.387,15.162,0.0,60.0
9.0,16.387,15.323,0.0,60.0
10.01,16.322,15.098,0.0,60.0
11.01,16.354,15.388,0.0,60.0
12.0,16.387,15.355,0.0,60.0
13.0,16.387,15.549,0.0,60.0
14.01,16.387,15.484,0.0,60.0
15.01,16.387,15.613,0.0,60.0
16.01,16.387,15.484,0.0,60.0
17.01,16.387,15.807,0.0,60.0
18.01,16.387,15.71,0.0,60.0
19.01,16.387,15.936,0.0,60.0
20.0,16.387,15.742,0.0,60.0
21.01,16.387,15.936,0.0,60.0
22.01,16.387,15.903,0.0,60.0
23.01,16.387,16.097,0.0,60.0
24.01,16.387,16.258,0.0,60.0
25.01,16.387,16.258,0.0,60.0
26.01,16.387,16.161,0.0,60.0
27.0,16.387,16.387,0.0,60.0
28.01,16.387,16.58,0.0,60.0
29.01,16.387,16.451,0.0,60.0
30.01,16.387,16.58,0.0,60.0
31.01,16.387,16.548,0.0,60.0
32.01,16.387,16.902,0.0,60.0
33.01,16.387,16.709,0.0,60.0
34.01,16.387,16.902,0.0,60.0
35.01,16.387,16.967,0.0,60.0
36.01,16.387,17.225,0.0,60.0
37.01,16.387,17.225,0.0,60.0
38.01,16.387,17.16,0.0,60.0
39.01,16.387,17.289,0.0,60.0
40.0,16.387,17.354,0.0,60.0
41.0,16.419,17.579,0.0,60.0
42.01,16.387,17.418,0.0,60.0
43.01,16.483,17.676,0.0,60.0
44.0,16.419,17.644,0.0,60.0
45.0,16.419,17.869,0.0,60.0
46.0,16.483,17.869,0.0,60.0
47.01,16.516,18.063,0.0,60.0
48.0,16.58,18.256,0.0,60.0
49.01,16.58,17.998,0.0,60.0
50.01,16.58,18.224,0.0,60.0
51.01,16.58,18.256,0.0,60.0
52.01,16.677,18.578,0.0,60.0
53.01,16.58,18.32,0.0,60.0
54.01,16.709,18.61,0.0,60.0
55.01,16.709,18.707,0.0,60.0
56.01,16.709,18.771,0.0,60.0
57.01,16.709,18.836,0.0,60.0
58.01,16.709,18.804,0.0,60.0
59.0,16.709,19.094,0.0,60.0
60.0,16.709,19.029,0.0,60.0
61.01,16.709,19.223,0.0,60.0
62.01,16.709,19.062,0.0,60.0
63.01,16.709,19.448,0.0,60.0
64.01,16.709,19.352,0.0,60.0
65.01,16.709,19.545,0.0,60.0
66.01,16.709,19.609,0.0,60.0
67.01,16.709,19.674,0.0,60.0
68.01,16.773,19.738,0.0,60.0
69.01,16.709,19.803,0.0,60.0
70.01,16.806,19.899,0.0,60.0
71.0,16.709,19.964,0.0,60.0
72.0,16.87,20.125,0.0,60.0
73.01,16.87,19.932,0.0,60.0
74.01,16.902,20.125,0.0,60.0
75.01,16.87,20.318,0.0,60.0
76.01,16.967,20.447,0.0,60.0
77.01,16.935,20.254,0.0,60.0
78.01,17.031,20.479,0.0,60.0
79.01,17.031,20.479,0.0,60.0
80.01,17.031,20.77,0.0,60.0
81.01,17.031,20.77,0.0,60.0
82.01,17.031,20.641,0.0,60.0
83.0,17.031,20.834,0.0,60.0
84.01,17.031,21.06,0.0,60.0
85.01,17.031,21.156,0.0,60.0
86.0,17.031,21.027,0.0,60.0
87.01,17.031,21.156,0.0,60.0
88.01,17.031,21.092,0.0,60.0
89.01,17.031,21.35,0.0,60.0
90.01,17.063,21.35,0.0,60.0
91.01,17.031,21.479,0.0,60.0
92.01,17.063,21.479,0.0,60.0
93.01,17.063,21.704,0.0,60.0
94.01,17.128,21.672,0.0,60.0
95.01,17.096,21.736,0.0,60.0
96.01,17.192,21.736,0.0,60.0
97.01,17.16,21.769,0.0,60.0
98.01,17.354,22.091,0.0,60.0
99.01,17.321,21.994,0.0,60.0
100.01,17.321,22.123,0.0,60.0
101.01,17.354,21.865,0.0,60.0
102.01,17.354,22.22,0.0,60.0
103.01,17.354,22.284,0.0,60.0
104.01,17.354,22.316,0.0,60.0
105.01,17.354,22.381,0.0,60.0
106.01,17.354,22.188,0.0,60.0
107.01,17.354,22.445,0.0,60.0
108.01,17.354,22.574,0.0,60.0
109.01,17.386,22.703,0.0,60.0
110.01,17.354,22.51,0.0,60.0
111.01,17.418,22.703,0.0,60.0
112.01,17.45,22.639,0.0,60.0
113.01,17.386,22.768,0.0,60.0
114.01,17.547,23.09,0.0,60.0
115.01,17.515,22.896,0.0,60.0
116.01,17.644,23.025,0.0,60.0
117.01,17.644,23.025,0.0,60.0
118.01,17.676,23.09,0.0,60.0
119.01,17.676,23.251,0.0,60.0
120.01,17.676,23.412,0.0,60.0
121.01,17.676,23.154,0.0,60.0
122.01,17.676,23.348,0.0,60.0
123.01,17.676,23.219,0.0,60.0
124.01,17.676,23.477,0.0,60.0
125.0,17.74,23.702,0.0,60.0
126.01,17.708,23.734,0.0,60.0
127.01,17.708,23.541,0.0,60.0
128.01,17.676,23.734,0.0,60.0
129.01,17.837,23.799,0.0,60.0
130.0,17.74,23.928,0.0,60.0
131.01,17.837,23.992,0.0,60.0
132.01,17.805,23.799,0.0,60.0
133.01,17.901,24.057,0.0,60.0
134.01,17.966,23.863,0.0,60.0
135.01,17.998,24.121,0.0,60.0
136.0,17.998,24.218,0.0,60.0
137.01,17.998,24.314,0.0,60.0
138.01,17.998,24.121,0.0,60.0
139.01,17.998,24.314,0.0,60.0
140.0,17.998,24.25,0.0,60.0
141.01,17.998,24.314,0.0,60.0
142.01,18.03,24.153,0.0,60.0
143.01,17.998,24.604,0.0,60.0
144.01,18.063,24.604,0.0,60.0
145.01,17.998,24.637,0.0,60.0
146.01,18.063,24.701,0.0,60.0
147.01,18.063,24.443,0.0,60.0
148.01,18.159,24.733,0.0,60.0
149.0,18.224,24.701,0.0,60.0
150.01,18.127,24.733,0.0,60.0
151.01,18.288,24.766,0.0,60.0
152.01,18.32,24.959,0.0,60.0
153.01,18.32,24.959,0.0,60.0
154.01,18.32,24.83,0.0,60.0
155.01,18.32,25.023,0.0,60.0
156.01,18.32,24.991,0.0,60.0
157.01,18.32,25.346,0.0,60.0
158.01,18.32,25.152,0.0,60.0
159.01,18.32,25.346,0.0,60.0
160.01,18.32,25.088,0.0,60.0
161.01,18.32,25.346,0.0,60.0
162.01,18.32,25.185,0.0,60.0
163.0,18.32,25.507,0.0,60.0
164.01,18.385,25.604,0.0,60.0
165.01,18.32,25.539,0.0,60.0
166.01,18.417,25.636,0.0,60.0
167.0,18.417,25.41,0.0,60.0
168.0,18.449,25.604,0.0,60.0
169.01,18.417,25.539,0.0,60.0
170.01,18.578,25.7,0.0,60.0
171.01,18.61,25.571,0.0,60.0
172.01,18.643,25.958,0.0,60.0
173.01,18.643,25.797,0.0,60.0
174.01,18.643,25.926,0.0,60.0
175.01,18.643,25.926,0.0,60.0
176.01,18.643,25.797,0.0,60.0
177.01,18.675,25.797,0.0,60.0
178.01,18.643,26.022,0.0,60.0
179.01,18.643,26.151,0.0,60.0
180.01,18.643,26.151,0.0,60.0
181.01,18.675,26.28,0.0,60.0
182.01,18.675,26.087,0.0,60.0
183.01,18.707,26.313,0.0,60.0
184.01,18.675,26.055,0.0,60.0
185.0,18.707,26.248,0.0,60.0
186.01,18.675,26.248,0.0,60.0
187.01,18.836,26.506,0.0,60.0
188.01,18.9,26.345,0.0,60.0
189.01,18.933,26.57,0.0,60.0
190.01,18.933,26.441,0.0,60.0
191.01,18.965,26.635,0.0,60.0
192.01,18.965,26.57,0.0,60.0
193.01,18.965,26.635,0.0,60.0
194.01,18.965,26.603,0.0,60.0
195.01,18.965,26.731,0.0,60.0
196.01,18.965,26.796,0.0,60.0
197.01,18.965,26.764,0.0,60.0
198.0,18.965,26.957,0.0,60.0
199.01,18.965,26.699,0.0,60.0
200.01,18.965,26.699,50.0,0.0
201.01,18.997,26.764,50.0,0.0
202.01,18.965,26.764,50.0,0.0
203.01,19.062,26.86,50.0,0.0
204.01,19.223,26.957,50.0,0.0
205.01,19.158,26.989,50.0,0.0
206.01,19.287,27.021,50.0,0.0
207.01,19.287,27.021,50.0,0.0
208.01,19.287,27.021,50.0,0.0
209.01,19.287,27.021,50.0,0.0
210.01,19.287,26.925,50.0,0.0
211.01,19.577,26.989,50.0,0.0
212.01,19.609,27.021,50.0,0.0
213.01,19.609,26.925,50.0,0.0
214.01,19.642,26.957,50.0,0.0
215.01,19.803,26.925,50.0,0.0
216.01,19.932,26.764,50.0,0.0
217.01,19.932,26.796,50.0,0.0
218.01,20.157,26.731,50.0,0.0
219.01,20.254,26.731,50.0,0.0
220.01,20.254,26.699,50.0,0.0
221.01,20.512,26.699,50.0,0.0
222.01,20.576,26.699,50.0,0.0
223.01,20.576,26.699,50.0,0.0
224.01,20.866,26.699,50.0,0.0
225.01,20.898,26.667,50.0,0.0
226.01,20.963,26.57,50.0,0.0
227.01,21.221,26.441,50.0,0.0
228.01,21.221,26.377,50.0,0.0
229.01,21.317,26.377,50.0,0.0
230.01,21.543,26.377,50.0,0.0
231.01,21.575,26.377,50.0,0.0
232.01,21.801,26.377,50.0,0.0
233.01,21.865,26.28,50.0,0.0
234.01,22.026,26.248,50.0,0.0
235.01,22.188,26.055,50.0,0.0
236.01,22.188,26.055,50.0,0.0
237.01,22.445,26.055,50.0,0.0
238.01,22.51,26.055,50.0,0.0
239.01,22.606,26.022,50.0,0.0
240.01,22.832,25.926,50.0,0.0
241.01,22.832,25.829,50.0,0.0
242.01,23.154,25.765,50.0,0.0
243.01,23.154,25.732,50.0,0.0
244.01,23.315,25.732,50.0,0.0
245.01,23.477,25.732,50.0,0.0
246.0,23.477,25.732,50.0,0.0
247.01,23.799,25.7,50.0,0.0
248.01,23.799,25.604,50.0,0.0
249.01,23.96,25.41,50.0,0.0
250.01,24.121,25.41,50.0,0.0
251.01,24.121,25.41,50.0,0.0
252.01,24.443,25.41,50.0,0.0
253.01,24.443,25.313,50.0,0.0
254.01,24.701,25.346,50.0,0.0
255.01,24.766,25.217,50.0,0.0
256.01,24.798,25.185,50.0,0.0
257.01,25.056,25.088,50.0,0.0
258.01,25.088,25.088,50.0,0.0
259.01,25.281,25.088,50.0,0.0
260.0,25.41,25.088,50.0,0.0
261.01,25.442,24.991,50.0,0.0
262.01,25.668,24.927,50.0,0.0
263.01,25.732,24.927,50.0,0.0
264.01,25.765,24.83,50.0,0.0
265.01,26.055,24.766,50.0,0.0
266.01,26.055,24.766,50.0,0.0
267.0,26.151,24.766,50.0,0.0
268.01,26.377,24.766,50.0,0.0
269.01,26.377,24.766,50.0,0.0
270.01,26.441,24.669,50.0,0.0
271.01,26.667,24.508,50.0,0.0
272.01,26.699,24.54,50.0,0.0
